user_id,rec_id,shop_geo_lat,shop_geo_lon,rec_date,rec_total,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18,cat_19,cat_20,cat_21,cat_22,cat_23,cat_24
21303,32606,50.560819,36.569266,2018-08-21 11:24:00,2399000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21303,32605,50.6275496,36.5689984,2018-08-22 17:11:00,15700,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21303,32603,50.555208,36.561561,2018-08-23 09:02:00,100000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21303,32624,50.5525291,36.5692084,2018-08-23 10:29:00,35900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21303,35056,50.560555,36.560064,2018-08-26 10:32:00,20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
21303,35009,50.555208,36.561561,2018-08-28 09:26:00,100000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21303,35010,50.575,36.5698009,2018-08-30 15:06:00,17800,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21303,35054,50.575,36.5698009,2018-08-30 15:07:00,19900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21303,35388,50.575,36.5698009,2018-08-30 15:59:00,5630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21303,35055,50.628341,36.57772,2018-08-30 16:57:00,38803,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
18137,27087,59.4142546,56.8548804,2018-07-31 10:45:00,87436,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0
22638,34977,59.828934,30.316258,2018-08-29 16:01:00,332300,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22638,36761,59.7922257,30.3936523,2018-09-01 14:00:00,171878,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22638,35978,59.824233,30.3162319,2018-09-01 16:28:00,148200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22638,36424,59.6315288,30.3899538,2018-09-02 16:11:00,66200,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22638,36773,59.8195904,30.3166864,2018-09-03 16:16:00,65821,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
22638,36844,59.7256014,30.3993551,2018-09-03 20:35:00,80190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22638,37119,59.8195904,30.3166864,2018-09-04 16:24:00,11328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
18133,27085,55.7895024,37.7980767,2018-07-17 16:34:00,1399000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18133,27089,55.8621569,37.6820215,2018-07-27 08:52:00,65930,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
